"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Corey Dickerson","Rays","150","629","27","84","62","4","5.6 %","24.2 %",".207",".338",".282",".325",".490",".341","115","-0.2","11.5","-7.2","2.6","10762"
"Josh Harrison","Pirates","128","542","16","66","47","12","5.2 %","16.6 %",".160",".303",".272",".339",".432",".332","104","2.2","4.9","3.6","2.6","8202"
"Jake Lamb","Diamondbacks","149","635","30","89","105","6","13.7 %","23.9 %",".239",".287",".248",".357",".487",".353","111","0.8","9.7","-4.9","2.5","13329"
"Eddie Rosario","Twins","151","589","27","79","78","9","5.9 %","18.0 %",".218",".312",".290",".328",".507",".349","116","-0.6","11.0","-6.2","2.5","12155"
"Evan Longoria","Rays","156","677","20","71","86","6","6.8 %","16.1 %",".163",".282",".261",".313",".424",".312","96","1.6","-2.0","3.8","2.5","9368"
"Edwin Encarnacion","Indians","157","669","38","96","107","2","15.5 %","19.9 %",".245",".271",".258",".377",".504",".373","132","-8.4","18.1","-16.4","2.5","2151"
"Matt Joyce","Athletics","141","544","25","78","68","4","12.1 %","20.8 %",".230",".263",".243",".335",".473",".343","116","1.7","12.1","-6.7","2.4","3353"
"Yonder Alonso","- - -","142","521","28","72","67","2","13.1 %","22.6 %",".235",".302",".266",".365",".501",".366","132","-2.5","17.9","-12.0","2.4","2530"
"Ian Kinsler","Tigers","139","613","22","90","52","14","9.0 %","14.0 %",".176",".244",".236",".313",".412",".313","91","1.5","-5.1","7.8","2.4","6195"
"Jackie Bradley Jr.","Red Sox","133","541","17","58","63","8","8.9 %","22.9 %",".158",".294",".245",".323",".402",".313","90","5.1","-1.8","6.2","2.3","12984"
"Khris Davis","Athletics","153","652","43","91","110","4","11.2 %","29.9 %",".281",".290",".247",".336",".528",".361","128","-1.3","21.3","-20.8","2.3","9112"
"Joe Mauer","Twins","141","597","7","69","71","2","11.1 %","13.9 %",".112",".349",".305",".384",".417",".349","116","-6.2","5.4","-3.2","2.3","1857"
"Javier Baez","Cubs","145","508","23","75","75","10","5.9 %","28.3 %",".207",".345",".273",".317",".480",".326","98","3.8","2.2","3.9","2.2","12979"
"Andrew Benintendi","Red Sox","151","658","20","84","90","20","10.6 %","17.0 %",".154",".301",".271",".352",".424",".332","103","1.4","3.7","-3.9","2.2","17901"
"Mike Moustakas","Royals","148","598","38","75","85","0","5.7 %","15.7 %",".249",".263",".272",".314",".521",".345","114","-5.4","4.6","-3.1","2.2","4892"
"Kole Calhoun","Angels","155","654","19","77","71","5","10.9 %","20.5 %",".148",".284",".244",".333",".392",".315","98","-0.5","-2.2","1.6","2.2","11200"
"Eric Thames","Brewers","138","551","31","83","63","4","13.6 %","29.6 %",".271",".309",".247",".359",".518",".369","124","-1.7","15.6","-12.0","2.1","3711"
"Curtis Granderson","- - -","147","527","26","74","64","6","13.5 %","23.3 %",".241",".228",".212",".323",".452",".330","105","2.9","6.5","-2.2","2.1","4747"
"Yolmer Sanchez","White Sox","141","534","12","63","59","8","6.6 %","20.8 %",".147",".321",".267",".319",".413",".313","94","-1.3","-5.1","7.7","2.1","11602"
"Yadier Molina","Cardinals","136","543","18","60","82","9","5.2 %","13.6 %",".166",".285",".273",".312",".439",".316","94","-5.1","-9.5","12.6","2.1","7007"
"Jose Reyes","Mets","145","561","15","75","58","24","8.9 %","14.1 %",".168",".263",".246",".315",".413",".312","94","5.4","1.1","1.1","2.0","1736"
"Joe Panik","Giants","138","573","10","60","53","4","8.0 %","9.4 %",".133",".301",".288",".347",".421",".329","104","-2.1","0.8","0.9","2.0","11936"
"Brandon Crawford","Giants","144","570","14","58","77","3","7.4 %","19.8 %",".151",".293",".253",".305",".403",".301","86","-1.3","-11.5","13.2","2.0","5343"
"Manuel Margot","Padres","126","529","13","53","39","17","6.6 %","20.0 %",".146",".309",".263",".313",".409",".309","92","1.0","-4.5","7.0","1.9","14712"
"Kevin Pillar","Blue Jays","154","632","16","72","42","15","5.2 %","15.0 %",".148",".280",".256",".300",".404",".302","85","1.0","-10.7","8.3","1.9","12434"
"Chase Headley","Yankees","147","586","12","77","61","9","10.2 %","22.5 %",".133",".341",".273",".352",".406",".329","104","1.0","3.6","-4.6","1.9","4720"
"David Peralta","Diamondbacks","140","577","14","82","57","8","7.5 %","16.3 %",".150",".333",".293",".352",".444",".342","104","1.2","4.0","-4.2","1.8","2136"
