Key,year,month,day_of_month,full_date,time_of_game,away_team_name,away_team_league,home_team_name,home_team_league
323,2011,04,22,04/22/2011,12:10 PM,Royals,AL,Tigers,AL
324,2011,04,22,04/22/2011,12:35 PM,Pirates,NL,Phillies,NL
325,2011,04,22,04/22/2011,TBA,Giants,NL,Angels,AL
326,2011,04,22,04/22/2011,TBA,Mets,NL,Braves,NL
327,2011,04,22,04/22/2011,TBA,Nationals,NL,Dodgers,NL
328,2011,04,22,04/22/2011,TBA,Mariners,AL,Rangers,AL
329,2011,04,22,04/22/2011,TBA,Twins,AL,Rays,AL
330,2011,04,22,04/22/2011,TBA,Astros,AL,White Sox,AL
331,2011,04,23,04/23/2011,05:40 PM,Braves,NL,Reds,NL
332,2011,04,23,04/23/2011,06:05 PM,Indians,AL,Orioles,AL
333,2011,04,23,04/23/2011,06:05 PM,Twins,AL,Yankees,AL
334,2011,04,23,04/23/2011,07:10 PM,Angels,AL,Astros,AL
335,2011,04,23,04/23/2011,07:40 PM,Padres,NL,Rockies,NL
336,2011,04,23,04/23/2011,TBA,Marlins,NL,Dodgers,NL
337,2011,04,23,04/23/2011,TBA,Nationals,NL,Giants,NL
338,2011,04,23,04/23/2011,TBA,Athletics,AL,Rangers,AL
339,2011,04,23,04/23/2011,TBA,Mariners,AL,White Sox,AL
340,2011,04,24,04/24/2011,05:35 PM,Twins,AL,Yankees,AL
341,2011,04,24,04/24/2011,05:40 PM,Braves,NL,Reds,NL
342,2011,04,24,04/24/2011,06:05 PM,Rays,AL,Orioles,AL
343,2011,04,24,04/24/2011,06:05 PM,Diamondbacks,NL,Phillies,NL
344,2011,04,24,04/24/2011,06:05 PM,Tigers,AL,Pirates,NL
345,2011,04,24,04/24/2011,06:07 PM,Red Sox,AL,Blue Jays,AL
346,2011,04,24,04/24/2011,07:10 PM,Angels,AL,Astros,AL
347,2011,04,24,04/24/2011,07:15 PM,Mets,NL,Cardinals,NL
348,2011,04,24,04/24/2011,07:40 PM,Padres,NL,Rockies,NL
349,2011,04,24,04/24/2011,TBA,Marlins,NL,Dodgers,NL
350,2011,04,24,04/24/2011,TBA,Nationals,NL,Giants,NL
351,2011,04,24,04/24/2011,TBA,Cubs,NL,Indians,AL
352,2011,04,24,04/24/2011,TBA,Athletics,AL,Rangers,AL
353,2011,04,24,04/24/2011,TBA,Brewers,NL,Royals,AL
354,2011,04,24,04/24/2011,TBA,Mariners,AL,White Sox,AL
355,2011,04,25,04/25/2011,01:10 PM,Angels,AL,Astros,AL
356,2011,04,25,04/25/2011,02:10 PM,Padres,NL,Rockies,NL
357,2011,04,25,04/25/2011,05:35 PM,Twins,AL,Yankees,AL
358,2011,04,25,04/25/2011,05:40 PM,Braves,NL,Reds,NL
359,2011,04,25,04/25/2011,06:05 PM,Rays,AL,Orioles,AL
360,2011,04,25,04/25/2011,06:05 PM,Diamondbacks,NL,Phillies,NL
361,2011,04,25,04/25/2011,06:05 PM,Tigers,AL,Pirates,NL
362,2011,04,25,04/25/2011,06:07 PM,Red Sox,AL,Blue Jays,AL
363,2011,04,25,04/25/2011,07:15 PM,Mets,NL,Cardinals,NL
364,2011,04,25,04/25/2011,TBA,Marlins,NL,Dodgers,NL
