"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","playerid"
"Joe Kelly","Red Sox","30.1 %","68.5 %","47.3 %","66.5 %","82.9 %","77.1 %","44.9 %","64.3 %","10.8 %","9761"
"Jorge de la Rosa","Diamondbacks","30.1 %","74.5 %","49.5 %","53.5 %","81.7 %","72.0 %","43.8 %","55.3 %","13.9 %","2047"
"Matt Andriese","Rays","30.0 %","69.0 %","48.1 %","65.1 %","83.0 %","77.0 %","46.3 %","61.2 %","11.0 %","12022"
"Joe Biagini","Blue Jays","30.0 %","65.4 %","45.9 %","69.0 %","89.1 %","81.9 %","45.0 %","63.6 %","8.3 %","13194"
"Kevin Gausman","Orioles","30.0 %","66.7 %","46.3 %","62.8 %","84.2 %","76.4 %","44.3 %","60.2 %","10.9 %","14107"
"Jeremy Hellickson","- - -","30.0 %","69.9 %","47.9 %","74.4 %","87.0 %","82.6 %","44.8 %","59.1 %","8.3 %","4371"
"Tyler Clippard","- - -","30.0 %","74.6 %","48.1 %","62.1 %","76.0 %","70.8 %","40.6 %","58.7 %","14.0 %","5640"
"T.J. McFarland","Diamondbacks","29.9 %","74.7 %","48.7 %","72.9 %","93.5 %","86.1 %","42.0 %","53.1 %","6.8 %","3237"
"Jaime Garcia","- - -","29.9 %","66.4 %","45.7 %","57.1 %","86.4 %","75.5 %","43.2 %","56.5 %","11.2 %","8137"
"Kenta Maeda","Dodgers","29.9 %","66.7 %","47.4 %","56.3 %","82.2 %","73.6 %","47.4 %","64.1 %","12.5 %","18498"
"Tyler Anderson","Rockies","29.9 %","69.5 %","50.1 %","61.2 %","82.3 %","76.1 %","50.9 %","65.2 %","12.0 %","12880"
"Mike Fiers","Astros","29.9 %","64.3 %","45.7 %","69.7 %","86.0 %","80.2 %","45.9 %","60.1 %","9.1 %","7754"
"Tanner Roark","Nationals","29.8 %","66.4 %","45.7 %","64.9 %","85.4 %","77.8 %","43.6 %","58.8 %","10.1 %","8753"
"James Paxton","Mariners","29.8 %","67.0 %","48.1 %","55.4 %","82.5 %","74.0 %","49.3 %","64.9 %","12.5 %","11828"
